user_id,article_id,article_rating
1478,1707,7
2169,425,8
2807,1219,1
2999,597,5
1478,2138,8
569,1707,9
624,2768,7
2401,2138,2
256,1718,2
1533,2006,6
65,463,6
1579,2195,4
1217,2138,6
378,7,2
2888,1833,9
2580,2534,8
1226,1958,4
1721,2038,6
1029,75,3
2750,1748,1
794,1712,5
831,2046,6
2229,1759,5
1822,814,5
2169,95,4
2034,908,7
1172,1474,8
2074,2138,8
2488,906,2
1799,2751,4
1962,1347,3
9,111,3
2939,341,7
2509,1796,9
283,2138,7
2453,111,4
1737,2483,3
2636,2308,5
373,1946,1
21,2600,4
359,1833,7
2807,631,1
2726,2118,2
47,111,4
2687,331,5
347,111,2
2514,2547,1
2669,224,6
719,491,10
1160,884,5
1723,2138,10
1227,1089,10
2376,426,6
720,709,7
2230,111,7
2325,1601,2
2169,626,1
771,111,4
2766,331,4
117,1092,9
1753,111,6
504,1877,7
2628,102,10
1000,1423,5
2513,953,9
2180,1707,4
1291,883,10
1756,212,3
2288,406,7
2807,1040,3
1752,2138,8
606,2138,6
298,2383,3
2184,2536,3
1108,111,5
2984,111,8
1494,891,4
933,1176,1
1747,321,2
2833,1504,1
2476,1551,10
1498,47,10
811,265,7
523,1696,9
44,1028,7
1404,1725,5
600,2393,5
1935,111,4
2561,2452,3
1619,44,9
461,908,5
2647,417,10
2807,1281,5
2915,2138,3
1269,79,5
1218,1583,2
2376,849,3
883,321,6
2617,1918,3
1269,1534,5
208,1495,7
2936,1387,9
933,1305,6
146,111,3
2892,1029,10
2329,2023,8
1549,2138,6
760,1833,1
2821,1903,4
1782,111,1
1653,2612,3
2797,1673,10
2028,111,1
886,54,6
621,452,4
1556,2314,7
933,2055,2
2790,2465,3
1824,476,2
1897,2138,6
2033,111,5
2807,750,2
2966,1166,5
759,111,9
557,2025,6
2897,121,6
1599,2231,2
1717,111,4
627,1707,9
2820,2138,10
2766,793,3
714,1937,7
1589,1833,4
1150,424,7
2630,2314,1
2476,268,9
933,1064,2
299,1975,9
9,233,1
2773,1503,3
1679,451,6
8,1325,7
2586,2643,4
1428,111,5
2643,1069,3
2807,1408,3
615,501,8
1533,1773,6
327,688,10
2926,1519,3
1958,2342,2
1040,2286,1
2166,352,7
1626,111,1
182,111,9
983,2604,1
1187,384,3
1251,331,6
890,2559,9
1088,40,3
1707,1545,10
1252,2343,3
1780,111,2
904,614,6
2169,315,5
1002,2054,6
1196,21,8
2476,311,7
1500,1405,3
1119,863,6
31,2138,6
189,95,5
700,2420,6
2522,1295,9
2464,1833,1
2147,1840,6
1857,1590,2
2358,111,8
941,1137,6
1449,2314,5
268,1814,6
1740,1833,8
1681,1666,7
727,1541,9
706,2138,2
614,111,5
2682,111,9
1351,2138,4
1534,1307,10
2640,732,10
2063,2138,3
2768,1286,6
933,1408,2
2285,407,9
1808,302,7
1968,258,3
1036,503,10
2788,766,10
1133,1408,2
2665,156,4
1318,2637,5
2417,111,1
2837,111,4
1358,111,6
1287,111,9
2436,111,7
2429,2637,1
1416,1996,9
892,2387,6
1011,2132,3
2364,2314,7
1710,607,9
2300,111,4
1963,111,1
33,468,9
400,796,6
1269,486,1
2201,111,6
1694,518,1
1152,686,8
256,180,1
1029,244,3
1709,111,7
307,111,6
2238,717,6
1922,762,1
3,1880,1
2599,111,10
711,1415,3
451,111,6
2464,1408,9
1710,1335,4
2807,1878,4
2425,2440,2
831,2372,2
2950,552,1
1601,111,8
1050,1819,6
930,545,9
2932,2314,4
1620,331,7
331,111,10
2623,237,9
839,111,2
2019,235,6
1906,111,4
634,2352,5
215,631,7
818,722,7
2631,1081,9
1097,751,8
986,111,8
692,633,3
1932,48,2
1122,1072,4
1393,1939,1
2384,746,8
2565,2495,7
1962,1203,9
768,1683,3
2578,113,8
167,2138,8
67,111,9
194,111,7
1451,501,5
845,121,8
1678,456,9
2382,111,1
304,1199,5
2476,257,7
280,331,9
2104,2138,2
2616,964,9
2945,1564,10
2789,327,2
2091,111,4
2127,1334,9
36,81,9
664,111,8
224,1211,4
2124,268,2
2541,52,7
2951,2631,2
963,95,2
2317,2741,2
1285,2138,5
1998,882,3
121,111,7
2780,854,3
867,111,9
1016,2713,8
2631,111,8
741,858,4
1220,2138,10
598,2138,7
2399,1250,10
98,111,8
1512,1556,2
2863,1908,6
1038,1408,5
1764,857,7
1516,1833,1
2852,2637,6
2467,1320,3
1319,443,1
871,331,2
305,2743,8
1155,111,3
1409,1833,5
9,2282,2
1598,2314,3
1129,431,5
485,2637,8
572,111,8
2476,945,10
1367,485,3
1146,2151,6
1710,2505,4
2311,1651,10
1525,964,5
721,1024,1
532,2222,4
49,963,9
871,1254,1
1355,264,2
2689,865,8
1823,414,8
342,2735,2
917,303,6
2292,1833,2
528,111,1
1797,1843,1
933,2314,10
2169,323,6
538,310,9
1321,331,7
2169,1996,2
156,1947,4
355,1765,6
1848,1878,9
217,88,4
2031,1833,9
2807,831,2
1159,2208,5
74,1712,7
1219,111,1
193,1109,7
1020,2222,7
1352,1022,7
914,614,3
948,2089,3
271,111,5
602,111,4
1571,2222,6
903,111,1
971,2138,7
2363,269,6
2814,2551,3
2001,111,10
1570,294,7
771,1322,6
2154,1522,7
2807,34,1
725,1833,3
656,2663,7
2730,251,8
1200,1335,8
1862,559,7
1736,111,7
2251,331,1
1510,1762,6
348,2122,2
2865,7,10
1889,460,6
2187,2138,2
2292,2509,8
188,908,6
2977,111,10
1252,469,2
1529,260,3
257,195,4
2660,2665,5
2235,623,3
2743,1632,4
1914,1413,7
911,1434,1
1072,1270,4
2879,753,9
2689,2637,5
517,984,8
1994,222,8
967,1196,5
554,1853,5
613,2289,2
2348,2059,3
134,1363,7
2062,150,2
1887,316,3
362,275,6
2586,2138,5
2757,1319,5
1319,1712,8
1215,724,7
2672,107,8
1081,2314,5
721,2132,2
363,111,1
821,630,7
1267,2468,7
1154,111,1
914,1052,7
743,1494,7
2059,1712,5
690,1176,9
2280,764,7
1819,146,3
1248,412,2
2486,2138,2
1028,90,1
785,111,10
2674,1019,10
1699,245,5
826,371,9
2595,643,1
2029,2578,6
113,603,5
1973,111,3
1650,574,3
2177,111,5
826,1408,10
372,2430,6
1461,1634,4
2567,2647,7
511,2004,4
124,399,8
1476,1518,8
137,111,4
2296,111,2
2726,1320,8
2930,1213,5
1011,93,4
957,265,1
363,2456,4
2274,111,1
1148,111,8
2476,1833,4
187,111,7
1098,1374,7
1649,331,5
2702,1255,2
7,111,3
372,111,5
1124,1960,8
2632,507,1
2991,948,9
8,966,7
592,270,10
2165,876,3
1379,2314,8
919,111,5
2450,521,4
1339,1712,3
721,1431,8
1049,2643,7
2608,111,3
761,2138,7
2718,486,10
875,2138,2
696,111,3
2471,1077,6
1396,1056,4
337,600,2
959,492,2
1704,1629,3
1409,1606,4
1079,1122,9
106,1209,1
792,278,4
704,1833,5
2614,111,2
2417,186,7
581,926,3
483,1151,3
1309,1539,1
2385,1408,1
919,2219,6
499,1833,5
2166,497,8
2633,753,6
2888,1033,5
665,7,2
1513,111,7
2102,2314,5
627,2314,6
2377,172,5
170,808,8
456,1707,1
1977,2571,8
440,1678,5
2493,2702,10
1945,375,6
541,111,5
57,166,5
998,2637,7
2478,1305,5
2614,1281,7
2676,719,2
1910,1072,9
1748,516,3
1789,276,5
1869,1408,6
458,630,8
1483,1337,6
713,1914,3
813,1081,6
1386,530,1
480,726,3
2123,156,3
2476,509,6
2647,1022,2
1649,111,6
2464,1534,5
1023,476,9
540,37,7
1860,111,2
2303,111,3
301,1889,8
1156,2444,6
1800,111,9
523,1091,1
1390,1618,5
2281,618,3
2665,111,1
1066,111,3
1167,18,7
1545,1871,5
158,820,8
928,263,2
1224,111,10
2362,111,2
828,111,5
2612,1611,5
1792,877,1
2830,959,7
959,1707,9
2560,2460,4
1297,1713,4
1284,111,5
1942,1901,6
1528,1180,2
1570,2637,7
1488,558,4
914,657,6
2041,2138,3
1335,111,2
2005,1736,4
789,713,4
2038,111,3
2074,1296,10
2807,404,2
2098,111,8
1274,2138,8
1729,2628,8
1517,111,10
1703,111,6
372,1925,3
1984,11,5
1882,2138,4
1515,149,4
1182,111,1
207,111,4
655,1,7
2591,111,7
2051,2218,4
2987,2194,8
1550,859,3
1706,2351,9
2611,775,9
192,132,10
2807,1133,10
1432,2138,9
1445,1266,4
2616,598,3
1843,84,5
627,104,2
617,1064,8
2771,2601,6
1980,1897,4
2414,197,9
1008,612,9
2608,1007,7
1788,2138,8
2866,720,10
2959,1878,8
701,2505,6
1354,302,6
512,805,6
2147,2138,3
151,111,9
1358,978,3
104,111,6
2608,296,4
1051,136,5
2635,1833,3
652,1408,5
2133,1707,6
566,1833,9
2169,263,6
875,514,2
259,630,4
1020,1916,10
1598,2733,5
2476,1339,7
468,631,1
494,876,3
1798,111,1
1070,2086,1
2993,342,8
650,903,1
1826,2257,10
2616,64,7
1194,682,1
1464,111,10
1336,1046,1
2178,2690,5
1390,765,8
2646,111,7
2014,2545,6
1269,1176,2
1812,111,5
135,2138,5
14,111,3
135,2371,8
1789,1230,5
1041,301,6
1214,1018,1
905,1712,5
1964,347,3
2840,2749,10
1747,2572,6
1971,2413,10
2218,392,1
2485,2406,9
36,2346,8
2929,281,4
344,2138,3
627,1877,2
496,189,4
2659,2302,3
878,1851,9
1778,1564,8
872,1931,7
2084,2637,6
10,2405,6
2788,1990,7
2977,1707,8
763,2055,1
1246,26,7
958,1697,1
1696,761,8
498,2369,3
2580,2107,7
1434,1790,8
503,111,3
2671,2637,2
1409,18,5
647,193,5
1727,815,6
2379,95,2
2587,2138,10
826,831,5
2430,818,5
2370,2001,6
1107,111,8
1016,111,8
1879,357,10
756,2039,10
2916,2044,1
141,1189,5
435,2138,8
2049,1733,2
2892,1408,4
2072,1043,9
2789,964,7
2596,1502,4
1125,2314,8
33,1833,8
316,1316,4
448,2138,3
2282,2031,3
2171,522,2
1800,1958,1
1532,1123,5
744,2264,10
2214,365,6
2686,111,9
140,111,4
1010,1004,3
2665,2138,6
1404,1494,2
2697,908,9
2476,433,4
1269,1767,7
2608,71,4
456,2229,9
456,510,10
902,2314,7
167,431,1
823,1408,9
694,1536,3
2254,1534,9
179,1833,1
2200,2314,1
2267,111,2
1905,1548,4
2560,561,10
372,1834,3
69,1794,10
2873,463,3
1383,1479,3
2115,92,1
1406,1172,5
1984,1450,8
2501,748,9
1207,1363,5
959,1833,2
2593,1252,2
2764,458,7
826,252,9
1991,1493,8
2885,2286,4
2491,111,3
1379,1088,6
1101,1833,1
560,111,2
183,1833,2
914,1940,5
1590,111,3
2705,1543,6
717,2155,6
2888,703,8
439,1843,6
428,602,10
1930,2138,2
2627,2138,8
1306,353,5
2802,1833,3
2285,1707,7
1059,1213,8
308,697,1
1163,1471,9
2239,111,5
1282,216,4
2465,1192,8
293,2325,6
1763,2138,4
2616,1094,5
744,163,5
1360,2200,2
1942,1746,7
1660,1249,1
83,1985,2
1111,2138,9
878,331,4
1737,111,6
2336,1189,3
1241,404,9
2523,331,7
1346,612,1
582,111,9
1800,2603,9
1696,908,9
817,2587,7
135,256,6
2485,573,1
1010,40,7
1355,908,7
2126,2124,5
1699,111,10
1269,267,9
1269,516,6
2045,111,2
202,331,4
2569,111,7
547,737,1
1090,39,8
1615,111,2
2193,111,1
808,2138,4
1790,540,3
1205,773,4
2779,111,9
1790,242,10
2215,1146,4
1043,882,6
1269,871,4
2284,111,1
2433,1820,6
2936,1983,7
2782,1434,5
1693,1317,7
2443,2746,8
1244,2455,2
1637,111,6
1569,2138,9
826,454,2
2827,331,3
2887,1936,7
2895,1892,5
1581,1532,2
1352,2714,1
1651,2138,1
933,1534,9
2168,1843,3
1497,2549,2
2447,111,2
695,2415,4
2476,446,4
887,1712,7
1471,111,3
996,331,5
1493,525,8
2158,914,7
2076,2643,4
415,111,6
724,76,6
234,1922,8
2511,759,9
2412,2178,4
2161,964,4
2446,2138,10
2888,248,9
1931,84,8
1552,2103,7
2476,404,2
826,591,1
2338,2441,2
1216,2174,10
766,1966,2
609,1551,8
2117,1412,9
1971,1141,6
118,27,7
2289,2138,8
1892,2757,1
1419,1375,2
908,1833,6
1147,111,3
663,111,6
2807,2371,6
875,2314,3
831,1707,8
1853,1673,8
935,2465,2
1679,2138,6
854,111,5
1588,1423,5
1863,111,7
1235,1019,10
1237,1366,4
2132,776,8
2429,111,2
1527,757,6
1679,331,3
2134,1746,10
115,111,9
826,336,7
1401,2138,5
875,80,10
2382,1033,7
1916,977,2
2464,1952,9
124,331,3
2146,998,5
1546,156,4
911,111,6
871,1232,6
1399,111,9
2804,1366,7
596,331,6
2608,1833,3
1204,111,3
1514,2268,4
2175,2637,5
1947,2608,4
2053,1408,10
458,1718,9
2134,331,3
2451,72,2
1226,1707,10
466,2244,2
9,95,5
1461,1099,9
2807,357,1
1379,908,10
516,2405,6
2492,111,5
959,2405,9
475,1176,8
1495,2138,7
1457,391,8
303,1336,1
2803,111,7
1140,637,8
2428,1833,1
1440,979,3
2726,561,7
2325,592,10
108,586,9
1258,111,9
456,268,6
2169,1023,1
837,331,3
618,18,8
1185,496,8
2558,412,5
2133,111,3
2130,657,4
2523,269,5
1131,2314,5
2241,111,5
1773,1408,4
1159,161,10
409,1089,3
1212,111,6
2406,111,5
1210,2642,2
1269,6,5
2366,2138,1
1544,1055,4
2807,2643,7
1327,317,2
1111,111,10
700,111,6
1692,224,9
1783,1033,6
1413,111,1
1907,111,10
914,2222,9
987,486,8
1251,1866,3
424,947,8
2588,158,5
1269,1028,7
714,111,3
2204,1248,1
2315,1301,3
160,1560,7
1576,566,2
2580,1845,7
2593,661,3
2945,1146,5
2730,1389,3
2643,36,6
1409,1218,7
1300,275,3
1524,964,7
67,2600,4
1541,2029,2
10,255,2
1764,561,1
1998,1833,3
2424,1024,5
2793,1201,5
1029,331,8
2770,111,6
2557,2138,9
1319,833,1
1748,2359,1
2413,366,2
606,2246,8
643,2138,3
1048,2391,6
2038,2497,2
2124,473,8
1366,331,8
2412,2491,4
2059,95,5
833,1983,7
2222,2197,10
314,111,10
2687,356,3
2970,2612,10
1640,761,4
458,17,10
2715,1071,5
448,111,4
1253,2314,7
2689,1167,2
2212,50,1
491,2365,7
2464,404,5
2823,384,1
2494,2369,9
1859,111,6
1120,335,1
952,111,7
1104,930,2
1211,111,2
421,111,7
34,111,3
284,1547,2
1470,508,2
2347,92,3
2825,1474,2
1122,734,1
1527,2630,1
871,2039,2
2447,2593,7
419,2028,8
1452,111,1
2198,1801,10
2476,946,5
1497,853,5
1195,111,2
1258,2138,6
2122,55,8
395,1357,2
2712,1478,4
2198,111,7
755,996,2
2159,2138,5
2092,2060,3
2723,1754,9
1411,560,9
2202,111,9
1325,2119,6
450,2552,8
826,1551,7
2765,111,5
959,933,3
441,2119,3
142,1833,10
2485,331,6
982,507,6
827,111,8
826,494,8
2929,12,6
959,331,6
38,1833,4
2600,692,9
230,111,1
2479,111,8
128,667,5
2610,341,7
1247,2333,10
2491,2343,8
2007,1792,5
2814,1992,2
1269,716,7
959,111,8
959,105,1
2714,111,6
916,1901,6
30,212,5
2367,2314,7
834,1833,5
91,2110,5
1525,227,3
1352,1178,6
836,2330,5
2440,2314,6
2361,2314,5
1449,2731,9
1512,1712,2
2041,111,7
2965,1964,2
2811,1733,10
1266,2670,6
1149,111,8
1904,976,8
300,2541,3
2993,2705,3
2703,2586,4
2492,1166,3
1192,936,5
1049,633,10
48,111,8
64,111,4
2721,111,2
713,111,9
2295,111,4
2169,2029,4
730,2426,1
1781,2138,8
11,831,7
1121,964,9
544,522,10
792,2539,3
984,2558,10
2476,1853,1
1654,1222,6
764,1495,8
2429,2314,4
2587,1833,2
2029,2001,5
1500,331,4
2520,111,7
959,189,2
1409,731,8
113,268,6
1273,1437,7
2381,1712,9
119,111,7
2710,1592,8
1203,2300,8
165,111,1
2608,2637,10
1398,2315,4
1083,462,10
1444,111,2
625,111,3
621,111,6
629,1987,5
2288,2138,9
1387,1247,2
536,111,10
1269,765,8
2086,912,10
2117,2645,2
2170,2660,1
1187,557,5
284,129,3
1592,300,5
1952,965,8
182,1408,10
2395,699,9
1948,111,9
471,71,5
977,2314,2
1923,331,10
1650,331,2
2601,111,7
1657,111,2
1902,2050,5
2543,331,9
1269,117,1
1040,907,5
1671,331,5
2807,1700,3
1548,1000,2
1654,932,9
1995,2138,8
206,2037,2
1694,1023,4
2902,1342,5
2439,297,9
715,111,7
2372,2138,4
2368,1290,2
1557,111,1
1682,111,5
2363,62,8
2383,2465,3
1872,111,9
1683,1589,3
1739,206,10
2476,837,5
2471,222,9
2169,1033,10
908,111,3
439,1707,1
15,111,3
1468,2138,5
1269,1834,10
2795,2198,1
1718,1719,6
1563,111,1
959,1914,7
2503,1833,7
1203,1707,9
1322,873,7
866,111,4
1410,47,3
1968,916,10
2568,1261,3
2690,980,9
1409,1843,7
153,29,10
159,2300,8
2807,873,2
1697,1939,6
557,1336,10
523,111,2
396,711,2
1011,584,6
892,111,4
1162,2757,2
1099,331,1
2832,2324,3
1826,111,3
2498,2371,6
1230,2314,9
2186,111,2
2002,2617,9
1544,111,3
2180,111,2
741,882,5
2695,925,4
407,111,4
826,2637,9
2976,1675,8
2735,936,2
2449,36,2
959,281,6
2696,2573,5
10,1408,4
886,111,1
1328,1182,3
1099,111,2
1569,903,2
1879,111,6
2709,331,3
2870,111,3
2059,2637,5
373,1269,2
2464,612,4
971,2314,2
1060,111,6
2823,111,1
2580,111,6
1232,600,2
444,961,10
2135,1833,7
1415,1317,9
2650,1003,2
826,821,7
956,574,2
225,974,8
826,970,7
2799,1534,7
947,111,1
1602,1949,5
435,1843,6
857,111,4
2594,775,9
994,111,10
1023,47,1
836,111,6
796,918,1
279,1649,7
2807,2039,9
2616,1006,4
2665,2637,8
388,2607,8
2056,1146,3
2464,186,8
714,154,9
141,471,7
872,1337,3
2440,1018,5
2216,2603,5
594,111,4
1531,1833,2
627,1823,5
743,1914,1
2637,1067,1
2437,2088,8
466,2736,6
2059,433,3
27,111,1
224,331,8
1131,812,3
1269,621,2
2332,532,3
2133,37,2
532,1905,8
1178,876,4
240,2643,6
2415,475,10
2175,2138,8
291,1779,2
1680,1833,8
1983,251,7
435,908,7
717,111,7
2331,1881,4
1674,434,3
271,1418,1
2038,1583,7
347,2138,5
2385,2138,3
871,329,10
1960,65,6
2776,1689,5
623,880,3
133,91,9
1091,2637,8
14,2314,1
2285,101,7
870,831,8
2440,2138,10
2517,2466,7
1729,771,6
1322,111,5
1322,1660,3
1463,2019,10
387,2553,9
2496,1339,7
2119,229,6
427,111,6
435,2553,6
743,1922,2
2810,267,6
2375,420,6
896,29,9
1593,111,6
885,2170,2
2604,1707,8
1734,2642,3
2038,1833,6
1884,320,8
2937,1888,8
1762,2086,9
2084,625,4
1234,111,1
2117,796,9
1970,111,3
1017,94,3
1256,862,3
1023,231,10
2897,1565,6
2061,2314,3
2344,2146,6
2897,331,9
1888,1609,8
877,2325,5
1269,695,6
1692,1337,8
2654,962,10
666,111,7
1726,111,3
29,2365,6
370,75,7
1269,2214,6
1897,704,2
1198,111,3
431,516,9
2807,1242,1
2227,1874,8
325,579,9
637,659,4
2952,1907,10
1148,1041,6
1269,1408,5
1269,1209,1
248,1750,10
832,1967,9
2656,42,8
1477,1260,8
1448,1249,4
1808,111,5
1184,545,10
1718,1012,6
2229,606,1
1389,458,2
1897,135,7
2480,1174,5
2476,1236,1
2251,224,9
222,363,6
933,223,7
80,1113,10
1787,1595,8
2706,1960,7
2939,291,3
1939,111,8
2751,1504,7
959,1307,1
2792,733,10
1193,2138,3
962,234,8
2535,111,1
1238,111,2
582,2083,7
2483,1408,4
1911,2314,7
2476,868,1
1046,2314,10
2476,1230,3
2807,414,2
1999,466,10
757,136,7
1930,917,4
2003,1924,2
2539,1410,10
2335,747,7
2168,2314,4
1872,2429,1
2319,2465,2
2633,1966,2
2427,1290,8
2387,154,10
1269,268,4
2063,679,5
1152,1949,10
604,2138,7
1242,248,4
135,1408,6
382,111,8
1917,109,2
1841,1288,7
2353,1613,8
2460,111,2
1947,111,3
2285,341,4
805,704,10
1135,241,3
504,488,5
2579,1021,10
2984,754,8
1817,111,4
2169,1833,5
372,1408,9
524,908,3
1566,91,5
188,111,1
147,1833,1
1691,111,6
2133,1677,9
33,111,8
1497,125,3
2906,2467,9
1307,1712,3
2495,1930,6
1203,2673,5
1744,2668,4
75,37,10
982,111,3
2459,1833,5
2807,543,2
54,111,9
1146,978,10
141,2373,2
2464,590,7
1624,2366,6
2234,111,8
2888,1630,2
483,331,10
2776,977,1
389,111,2
107,111,1
1288,2637,10
2476,1022,10
2483,902,2
600,1788,8
989,2314,7
2939,2439,9
2925,1960,5
1101,2029,4
2197,1189,2
207,2433,5
1539,1631,7
100,2314,9
2562,2314,5
2997,833,10
1718,331,3
302,2138,2
284,2684,9
972,1833,9
1349,430,10
914,1833,5
1646,111,2
1236,111,9
112,70,5
2381,111,2
2316,1161,9
1888,1408,10
2509,581,7
2795,2138,6
1909,2138,10
2674,103,10
2024,1790,4
2842,914,3
2120,395,10
637,75,8
871,1707,2
1165,111,10
1961,2444,9
2167,1033,10
2168,1833,2
2306,1426,5
984,1258,5
912,2140,3
1607,331,9
1671,1452,7
202,1243,5
322,1794,9
1439,2644,7
1010,111,2
1315,2678,10
199,2679,10
1344,751,4
1715,2138,7
1526,1491,4
2273,111,4
686,111,2
306,348,5
1303,331,7
544,1833,5
649,1393,4
2802,2021,5
748,1687,9
1413,1039,3
686,1060,10
2175,1833,7
1808,2629,1
2891,131,1
2212,747,9
2993,2146,7
2234,246,5
1705,111,10
2477,111,7
2651,2284,10
567,2286,1
1817,1833,8
438,2050,9
2670,2391,4
897,1301,7
1089,2524,5
810,111,4
1161,1197,9
2261,1769,2
2977,331,4
1251,1162,8
859,1728,2
544,1408,9
2420,331,5
789,1791,5
1655,1945,5
1570,941,7
1141,2324,2
1976,2301,10
1251,2371,1
2840,213,3
1352,752,3
1369,867,5
1120,78,7
646,548,9
1993,2138,8
780,185,4
1952,782,7
1266,111,5
474,2232,5
995,529,8
755,1196,7
1044,187,10
2551,111,6
2235,2138,8
2766,111,10
692,111,7
49,1791,9
374,1451,9
2445,111,3
1207,1554,6
2080,631,7
2620,111,2
2338,111,5
2791,111,2
2332,1129,6
1307,1793,9
1222,912,8
2476,2516,2
1099,2267,7
1528,238,1
406,84,7
2521,2314,10
2038,2138,2
2005,443,6
1743,512,4
1857,111,4
1977,1833,5
135,156,2
2212,1541,10
396,504,8
850,111,6
1414,768,7
283,1534,1
1819,1565,8
705,331,6
2888,2314,8
1411,2304,7
1052,111,8
2476,1712,2
2316,46,1
638,82,5
